date	incidence	rolling_mean_key	rolling_7day_incidence
2021-04-29	0	7day_incidence	0.000244593944273449
2021-04-28	0.000564334085778781	7day_incidence	0.000244593944273449
2021-04-27	0	7day_incidence	0.000200222258133969
2021-04-26	0	7day_incidence	0.000209868098757763
2021-04-24	0	7day_incidence	0.000209868098757763
2021-04-23	0.000358294518093873	7day_incidence	0.000214792142962163
2021-04-22	0.000546448087431694	7day_incidence	0.000374945890559857
2021-04-21	0	7day_incidence	0.000374945890559857
2021-04-20	0.000598802395209581	7day_incidence	0.000374945890559857
2021-04-19	0.00112107623318386	7day_incidence	0.000401232295009415
2021-04-17	0	7day_incidence	0.000437774895320732
2021-04-16	0	7day_incidence	0.000561193593253469
2021-04-15	0.000542299349240781	7day_incidence	0.000658098852248342
2021-04-14	0.000802246289610911	7day_incidence	0.000774532022089453
2021-04-13	0.000863930885529158	7day_incidence	0.000774532022089453
2021-04-12	0.00127713920817369	7day_incidence	0.000949816859950978
2021-04-10	0.00193610842207164	7day_incidence	0.00109417338592457
2021-04-09	0	7day_incidence	0.00113847349487734
2021-04-08	0.00122699386503067	7day_incidence	0.0010150547969446
2021-04-07	0.0015527950310559	7day_incidence	0.00110454252427584
2021-04-06	0.00111234705228031	7day_incidence	0.000968632261546189
2021-04-03	0	7day_incidence	0.00104192992335078
2021-04-02	0.00190355329949239	7day_incidence	0.000866645085489253
2021-04-01	0.000984736582964057	7day_incidence	0.000644817223909838
2021-03-31	0.000513083632632119	7day_incidence	0.000485910502155508
2021-03-30	0	7day_incidence	0.000644025768184443
2021-03-29	0	7day_incidence	0.000372089582542674
2021-03-27	0	7day_incidence	0.000436765792505985
2021-03-26	0.00110680686220255	7day_incidence	0.000511124092310847
2021-03-25	0	7day_incidence	0.000511124092310847
2021-03-24	0.00143747005270724	7day_incidence	0.000511124092310847
2021-03-23	0.00103359173126615	7day_incidence	0.00074666760897555
2021-03-22	0	7day_incidence	0.000736590832954017
2021-03-21	0	7day_incidence	0.00087481738627491
2021-03-20	0.00164880461665293	7day_incidence	0.000943399598989107
2021-03-19	0.00103626943005181	7day_incidence	0.000915039790078733
2021-03-18	0.000967585873246251	7day_incidence	0.00111738701792171
2021-03-17	0.00191754554170662	7day_incidence	0.00154767961688901
2021-03-16	0.000835073068893528	7day_incidence	0.00168807594984837
2021-03-15	0.00141643059490085	7day_incidence	0.00182250338738845
2021-03-14	0.00301204819277108	7day_incidence	0.00207746163092208
2021-03-13	0.00263157894736842	7day_incidence	0.00205760773247209
2021-03-12	0.00197726149283243	7day_incidence	0.00236159200305344
2021-03-11	0.00275229357798165	7day_incidence	0.00274233515421921
2021-03-10	0.00177856825255669	7day_incidence	0.00231204255525191
2021-03-09	0.00296296296296296	7day_incidence	0.00257851818784097
2021-03-08	0.00408163265306122	7day_incidence	0.00229605226029348
2021-03-07	0	7day_incidence	0.00214036894782324
2021-03-06	0.00449690837549185	7day_incidence	0.00219232277929176
2021-03-05	0	7day_incidence	0.00264134994508736
2021-03-04	0.00166251039068994	7day_incidence	0.00252008222617714
2021-03-03	0.00214224507283633	7day_incidence	0.0029824030768475
2021-03-02	0.00610615312353217	7day_incidence	0.00284807464688266
2021-03-01	0.00323275862068966	7day_incidence	0.00321515938227575
2021-02-28	0.00323624595469256	7day_incidence	0.00360781732822735
2021-02-27	0.003556609365738	7day_incidence	0.00390710919433548
2021-02-26	0.00256959314775161	7day_incidence	0.00352911697846756
2021-02-25	0.00441111601235112	7day_incidence	0.004241462615825
2021-02-24	0.00423728813559322	7day_incidence	0.00599055264529617
2021-02-23	0.00346020761245675	7day_incidence	0.00643658130126195
2021-02-22	0.00821917808219178	7day_incidence	0.00707509018034941
2021-02-21	0.0154798761609907	7day_incidence	0.00721906282885591
2021-02-20	0.00667880995749848	7day_incidence	0.00744623678484343
2021-02-19	0.00703915530136384	7day_incidence	0.00772902282336955
2021-02-18	0.00541892455189662	7day_incidence	0.00774203299841062
2021-02-17	0.00582750582750583	7day_incidence	0.00702390235719393
2021-02-16	0.00543970988213962	7day_incidence	0.00682127083023784
2021-02-15	0.00831024930747922	7day_incidence	0.0065558696657943
2021-02-14	0.0104529616724739	7day_incidence	0.00664509662919896
2021-02-13	0.00526038926880589	7day_incidence	0.00705310589445033
2021-02-12	0.00518134715025907	7day_incidence	0.00796900674005244
2021-02-11	0.00604351329572925	7day_incidence	0.00841194089351865
2021-02-10	0.00868357068426537	7day_incidence	0.00989485113078429
2021-02-09	0.0118510158013544	7day_incidence	0.0104830933632902
2021-02-08	0.0114107883817427	7day_incidence	0.0110733516034245
2021-02-07	0.0208333333333333	7day_incidence	0.0117319081455931
2021-02-06	0.00937808489634748	7day_incidence	0.0120177703696228
2021-02-05	0.00931315483119907	7day_incidence	0.0126761285422495
2021-02-04	0.0106534090909091	7day_incidence	0.0135377102684457
2021-02-03	0.0106846062524733	7day_incidence	0.0167907556726539
2021-02-02	0.0164595230097414	7day_incidence	0.0178615219919633
2021-02-01	0.0174418604651163	7day_incidence	0.0180901427881069
2021-01-31	0.0436046511627907	7day_incidence	0.0185897905460093
2021-01-30	0.0168734491315136	7day_incidence	0.0197225997872353
2021-01-29	0.0109135004042037	7day_incidence	0.0208499961294422
